ID;Cluster
1;cluster_1
2;cluster_1
3;cluster_2
4;cluster_2
5;cluster_3
6;cluster_3
7;cluster_2
8;cluster_4
9;cluster_0
10;cluster_3
11;cluster_2
12;cluster_2
13;cluster_0
14;cluster_3
15;cluster_3
16;cluster_0
17;cluster_0
18;cluster_3
19;cluster_3
20;cluster_3
21;cluster_1
22;cluster_3
23;cluster_3
24;cluster_0
25;cluster_4
26;cluster_1
27;cluster_3
28;cluster_3
29;cluster_1
30;cluster_0
31;cluster_2
32;cluster_3
33;cluster_5
34;cluster_2
35;cluster_4
36;cluster_3
37;cluster_3
38;cluster_0
39;cluster_3
40;cluster_5
41;cluster_1
42;cluster_1
43;cluster_3
44;cluster_5
45;cluster_1
46;cluster_0
47;cluster_0
48;cluster_2
49;cluster_5
50;cluster_3
51;cluster_4
52;cluster_1
53;cluster_4
54;cluster_4
55;cluster_1
56;cluster_2
57;cluster_3
58;cluster_5
59;cluster_4
60;cluster_2
61;cluster_2
62;cluster_4
63;cluster_2
64;cluster_3
65;cluster_2
66;cluster_2
67;cluster_2
68;cluster_3
69;cluster_1
70;cluster_1
71;cluster_3
72;cluster_2
73;cluster_3
74;cluster_5
75;cluster_2
76;cluster_2
77;cluster_3
78;cluster_3
79;cluster_5
80;cluster_3
81;cluster_1
82;cluster_3
83;cluster_1
84;cluster_2
85;cluster_0
86;cluster_3
87;cluster_1
88;cluster_3
89;cluster_2
90;cluster_5
91;cluster_5
92;cluster_2
93;cluster_5
94;cluster_5
95;cluster_3
96;cluster_3
97;cluster_3
98;cluster_3
99;cluster_2
100;cluster_3
101;cluster_3
102;cluster_2
103;cluster_0
104;cluster_0
105;cluster_4
106;cluster_4
107;cluster_3
108;cluster_1
109;cluster_0
110;cluster_0
111;cluster_5
112;cluster_2
113;cluster_3
114;cluster_3
115;cluster_3
116;cluster_3
117;cluster_2
118;cluster_3
119;cluster_3
120;cluster_3
121;cluster_1
122;cluster_5
123;cluster_1
124;cluster_2
125;cluster_1
126;cluster_4
127;cluster_5
128;cluster_0
129;cluster_0
130;cluster_2
131;cluster_3
132;cluster_2
133;cluster_2
134;cluster_5
135;cluster_3
136;cluster_1
137;cluster_2
138;cluster_4
139;cluster_3
140;cluster_1
141;cluster_2
142;cluster_0
143;cluster_4
144;cluster_2
145;cluster_2
146;cluster_1
147;cluster_4
148;cluster_3
149;cluster_1
150;cluster_5
151;cluster_3
152;cluster_2
153;cluster_2
154;cluster_3
155;cluster_2
156;cluster_0
157;cluster_4
158;cluster_3
159;cluster_3
160;cluster_2
161;cluster_1
162;cluster_3
163;cluster_3
164;cluster_5
165;cluster_5
166;cluster_3
167;cluster_2
168;cluster_0
169;cluster_3
170;cluster_3
171;cluster_5
172;cluster_3
173;cluster_0
174;cluster_5
175;cluster_0
176;cluster_5
177;cluster_5
178;cluster_1
179;cluster_5
180;cluster_1
181;cluster_2
182;cluster_2
183;cluster_1
184;cluster_3
185;cluster_3
186;cluster_2
187;cluster_3
188;cluster_5
189;cluster_4
190;cluster_3
191;cluster_0
192;cluster_3
193;cluster_5
194;cluster_2
195;cluster_0
196;cluster_3
197;cluster_3
198;cluster_2
199;cluster_2
200;cluster_3
201;cluster_5
202;cluster_2
203;cluster_2
204;cluster_3
205;cluster_1
206;cluster_2
207;cluster_2
208;cluster_3
209;cluster_1
210;cluster_2
211;cluster_4
212;cluster_4
213;cluster_1
214;cluster_2
215;cluster_1
216;cluster_2
217;cluster_0
218;cluster_4
219;cluster_5
220;cluster_1
221;cluster_1
222;cluster_1
223;cluster_1
224;cluster_3
225;cluster_1
226;cluster_5
227;cluster_3
228;cluster_1
229;cluster_4
230;cluster_4
231;cluster_1
232;cluster_1
233;cluster_0
234;cluster_0
235;cluster_3
236;cluster_2
237;cluster_1
238;cluster_3
239;cluster_2
240;cluster_3
241;cluster_3
242;cluster_5
243;cluster_4
244;cluster_0
245;cluster_3
246;cluster_1
247;cluster_1
248;cluster_5
249;cluster_1
250;cluster_1
251;cluster_3
252;cluster_3
253;cluster_0
254;cluster_3
255;cluster_1
256;cluster_0
257;cluster_2
258;cluster_3
259;cluster_5
260;cluster_2
261;cluster_2
262;cluster_3
263;cluster_0
264;cluster_2
265;cluster_3
266;cluster_3
267;cluster_2
268;cluster_2
269;cluster_3
270;cluster_3
271;cluster_1
272;cluster_3
273;cluster_1
274;cluster_1
275;cluster_5
276;cluster_3
277;cluster_3
278;cluster_3
279;cluster_2
280;cluster_1
281;cluster_3
282;cluster_0
283;cluster_3
284;cluster_1
285;cluster_1
286;cluster_2
287;cluster_3
288;cluster_3
289;cluster_3
290;cluster_1
291;cluster_1
292;cluster_3
293;cluster_5
294;cluster_2
295;cluster_0
296;cluster_4
297;cluster_1
298;cluster_0
299;cluster_0
300;cluster_4
301;cluster_2
302;cluster_0
303;cluster_0
304;cluster_5
305;cluster_5
306;cluster_1
307;cluster_1
308;cluster_3
309;cluster_3
310;cluster_3
311;cluster_4
312;cluster_4
313;cluster_0
314;cluster_5
315;cluster_0
316;cluster_5
317;cluster_4
318;cluster_5
319;cluster_3
320;cluster_3
321;cluster_3
322;cluster_3
323;cluster_4
324;cluster_2
325;cluster_1
326;cluster_1
327;cluster_0
328;cluster_4
329;cluster_5
330;cluster_1
331;cluster_3
332;cluster_3
333;cluster_2
334;cluster_0
335;cluster_0
336;cluster_5
337;cluster_4
338;cluster_3
339;cluster_3
340;cluster_1
341;cluster_2
342;cluster_5
343;cluster_2
344;cluster_3
345;cluster_3
346;cluster_0
347;cluster_3
348;cluster_3
349;cluster_2
350;cluster_2
351;cluster_2
352;cluster_5
353;cluster_2
354;cluster_3
355;cluster_2
356;cluster_4
357;cluster_4
358;cluster_3
359;cluster_1
360;cluster_1
361;cluster_2
362;cluster_1
363;cluster_2
364;cluster_0
365;cluster_1
366;cluster_3
367;cluster_0
368;cluster_2
369;cluster_0
370;cluster_2
371;cluster_5
372;cluster_2
373;cluster_0
374;cluster_4
375;cluster_4
376;cluster_5
377;cluster_2
378;cluster_2
379;cluster_2
380;cluster_2
381;cluster_3
382;cluster_5
383;cluster_2
384;cluster_2
385;cluster_3
386;cluster_3
387;cluster_3
388;cluster_5
389;cluster_3
390;cluster_0
391;cluster_5
392;cluster_3
393;cluster_5
394;cluster_0
395;cluster_0
396;cluster_3
397;cluster_2
398;cluster_0
399;cluster_2
400;cluster_2
401;cluster_1
402;cluster_3
403;cluster_3
404;cluster_0
405;cluster_2
406;cluster_3
407;cluster_0
408;cluster_3
409;cluster_2
410;cluster_2
411;cluster_2
412;cluster_1
413;cluster_3
414;cluster_4
415;cluster_1
416;cluster_1
417;cluster_1
418;cluster_4
419;cluster_2
420;cluster_3
421;cluster_5
422;cluster_3
423;cluster_3
424;cluster_1
425;cluster_1
426;cluster_0
427;cluster_2
428;cluster_3
429;cluster_0
430;cluster_5
431;cluster_4
432;cluster_0
433;cluster_1
434;cluster_3
435;cluster_5
436;cluster_0
437;cluster_1
438;cluster_4
439;cluster_0
440;cluster_3
441;cluster_0
442;cluster_3
443;cluster_3
444;cluster_3
445;cluster_1
446;cluster_3
447;cluster_5
448;cluster_3
449;cluster_1
450;cluster_3
451;cluster_0
452;cluster_3
453;cluster_3
454;cluster_4
455;cluster_1
456;cluster_5
457;cluster_4
458;cluster_2
459;cluster_1
460;cluster_4
461;cluster_4
462;cluster_2
463;cluster_3
464;cluster_3
465;cluster_5
466;cluster_3
467;cluster_1
468;cluster_3
469;cluster_3
470;cluster_3
471;cluster_4
472;cluster_3
473;cluster_2
474;cluster_3
475;cluster_3
476;cluster_1
477;cluster_3
478;cluster_3
479;cluster_1
480;cluster_2
481;cluster_0
482;cluster_5
483;cluster_5
484;cluster_2
485;cluster_1
486;cluster_0
487;cluster_3
488;cluster_5
489;cluster_3
490;cluster_2
491;cluster_2
492;cluster_4
493;cluster_2
494;cluster_5
495;cluster_2
496;cluster_5
497;cluster_2
498;cluster_2
499;cluster_3
500;cluster_1
501;cluster_0
502;cluster_2
503;cluster_4
504;cluster_2
505;cluster_0
506;cluster_3
507;cluster_3
508;cluster_3
509;cluster_1
510;cluster_3
511;cluster_3
512;cluster_2
513;cluster_5
514;cluster_2
515;cluster_3
516;cluster_1
517;cluster_2
518;cluster_1
519;cluster_2
520;cluster_4
521;cluster_4
522;cluster_3
523;cluster_3
524;cluster_2
525;cluster_5
526;cluster_2
527;cluster_1
528;cluster_3
529;cluster_4
530;cluster_0
531;cluster_5
532;cluster_2
533;cluster_2
534;cluster_2
535;cluster_4
536;cluster_1
537;cluster_2
538;cluster_2
539;cluster_1
540;cluster_5
541;cluster_1
542;cluster_3
543;cluster_5
544;cluster_3
545;cluster_1
546;cluster_0
547;cluster_5
548;cluster_1
549;cluster_5
550;cluster_3
551;cluster_3
552;cluster_5
553;cluster_5
554;cluster_3
555;cluster_3
556;cluster_3
557;cluster_5
558;cluster_3
559;cluster_5
560;cluster_5
561;cluster_5
562;cluster_3
563;cluster_1
564;cluster_1
565;cluster_3
566;cluster_1
567;cluster_3
568;cluster_4
569;cluster_5
570;cluster_3
571;cluster_1
572;cluster_3
573;cluster_4
574;cluster_2
575;cluster_2
576;cluster_3
577;cluster_2
578;cluster_2
579;cluster_3
580;cluster_3
581;cluster_3
582;cluster_1
583;cluster_1
584;cluster_5
585;cluster_3
586;cluster_1
587;cluster_0
588;cluster_0
589;cluster_3
590;cluster_3
591;cluster_0
592;cluster_1
593;cluster_3
594;cluster_3
595;cluster_3
596;cluster_3
597;cluster_5
598;cluster_3
599;cluster_0
600;cluster_3
601;cluster_1
602;cluster_2
603;cluster_2
604;cluster_2
605;cluster_1
606;cluster_3
607;cluster_2
608;cluster_2
609;cluster_2
610;cluster_1
611;cluster_1
612;cluster_0
613;cluster_5
614;cluster_4
615;cluster_0
616;cluster_3
617;cluster_3
618;cluster_1
619;cluster_0
620;cluster_3
621;cluster_3
622;cluster_5
623;cluster_4
624;cluster_1
625;cluster_1
626;cluster_3
627;cluster_3
628;cluster_2
629;cluster_3
630;cluster_1
631;cluster_4
632;cluster_5
633;cluster_2
634;cluster_5
635;cluster_4
636;cluster_4
637;cluster_4
638;cluster_2
639;cluster_2
640;cluster_3
641;cluster_2
642;cluster_2
643;cluster_3
644;cluster_4
645;cluster_1
646;cluster_2
647;cluster_3
648;cluster_3
649;cluster_3
650;cluster_3
651;cluster_2
652;cluster_0
653;cluster_2
654;cluster_2
655;cluster_2
656;cluster_2
657;cluster_3
658;cluster_1
659;cluster_4
660;cluster_1
661;cluster_2
662;cluster_3
663;cluster_5
664;cluster_3
665;cluster_2
666;cluster_2
667;cluster_3
668;cluster_2
669;cluster_2
670;cluster_3
671;cluster_5
672;cluster_0
673;cluster_1
674;cluster_5
675;cluster_5
676;cluster_0
677;cluster_3
678;cluster_4
679;cluster_2
680;cluster_4
681;cluster_3
682;cluster_3
683;cluster_3
684;cluster_1
685;cluster_3
686;cluster_4
687;cluster_2
688;cluster_2
